codigo;Tipo;Serviços contratados;unid;quant;Preço de compra total;Preço de compra unitario;Outras Despesas;Custo unitario;SERV.TERC.
01.002.000017;SET;Estaca pré-moldada concreto protendido cravada - seção quadrada (adensamento: vibração  / comprimento da seção: 265 mm / massa linear: 175 kg/m / perímetro: 106 cm / largura da seção: 265 mm / carga ad;M;1,0;1;1;;1;;
01.002.000018;SET;Estaca tipo strauss moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 250 mm / capacidade de carga: 20 t);M;1,0;1;1;;1;;
01.002.000019;SET;Estaca tipo  franki moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 450 mm / capacidade de carga: 95 t);M;1,0;1;1;;1;;
01.002.000020;SET;Estaca pré-moldada concreto protendido cravada - seção quadrada (adensamento: vibração  / comprimento da seção: 235 mm / massa linear: 138 kg/m / perímetro: 94 cm / largura da seção: 235 mm / carga adm;M;1,0;1;1;;1;;
01.002.000021;SET;Estaca tipo  franki moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 600 mm / capacidade de carga: 170 t);M;1,0;1;1;;1;;
01.003.000001;SET;Solda topo em perfil metálico "I" duplo 10" (largura nominal: 118,40 mm / altura nominal: 254,00 mm / espessura: 7,90 mm / massa linear: 37,80 kg/m);UN;1,0;1;1;;1;;
01.003.000002;SET;Solda topo em perfil metálico "I" duplo 12" (largura nominal: 133,40 mm / altura nominal: 304,80 mm / espessura: 11,70 mm / massa linear: 60,70 kg/m);UN;1,0;1;1;;1;;
01.003.000003;SET;Solda topo em perfil metálico "I" 10" (largura nominal: 118,40 mm / altura nominal: 254,00 mm / espessura: 7,90 mm / massa linear: 37,80 kg/m);UN;1,0;1;1;;1;;
01.003.000004;SET;Solda topo em perfil metálico "I" 12" (largura nominal: 133,40 mm / altura nominal: 304,80 mm / espessura: 11,70 mm / massa linear: 60,70 kg/m);UN;1,0;1;1;;1;;
01.003.000005;SET;Solda longitudinal em perfil metálico "I";M;1,0;1;1;;1;;
01.005.000001;SET;Serviços de hidrossemeadura;HA;1,0;1;1;;1;;
01.006.000001;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 3/8 " / profundidade do furo: até 15 cm);UN;1,0;1;1;;1;;
01.006.000002;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (profundidade do furo: até 40 cm / diâmetro da broca: 2 a 2 1/4 ");UN;1,0;1;1;;1;;
01.006.000003;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (diâmetro da broca: 3 a 3 1/4 " / profundidade do furo: até 40 cm);UN;1,0;1;1;;1;;
01.006.000004;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (diâmetro da broca: 4 a 4 1/4 " / profundidade do furo: até 40 cm);UN;1,0;1;1;;1;;
01.006.000005;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (profundidade do furo: até 40 cm / diâmetro da broca: 5 a 5 1/4 ");UN;1,0;1;1;;1;;
01.006.000006;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (diâmetro da broca: 6 a 6 1/4 " / profundidade do furo: até 40 cm);UN;1,0;1;1;;1;;
01.006.000007;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (diâmetro da broca: 8 a 8 1/4 " / profundidade do furo: até 40 cm);UN;1,0;1;1;;1;;
01.006.000008;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 3/8 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000009;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1/2 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000010;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 5/8 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000011;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 3/4 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000012;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: até 15 cm / diâmetro da broca: 1/2 ");UN;1,0;1;1;;1;;
01.006.000013;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000014;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: 5 cm / diâmetro da broca: 1 1/4 ");UN;1,0;1;1;;1;;
01.006.000015;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 1/2 " / profundidade do furo: 5 cm);UN;1,0;1;1;;1;;
01.006.000016;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 3/8 " / profundidade do furo: 10 cm);UN;1,0;1;1;;1;;
01.006.000017;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1/2 " / profundidade do furo: 10 cm);UN;1,0;1;1;;1;;
01.006.000018;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 5/8 " / profundidade do furo: 10 cm);UN;1,0;1;1;;1;;
01.006.000019;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: 10 cm / diâmetro da broca: 3/4 ");UN;1,0;1;1;;1;;
01.006.000020;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: 10 cm / diâmetro da broca: 1 ");UN;1,0;1;1;;1;;
01.006.000021;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 1/4 " / profundidade do furo: 10 cm);UN;1,0;1;1;;1;;
01.006.000022;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 1/2 " / profundidade do furo: 10 cm);UN;1,0;1;1;;1;;
01.006.000023;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: até 15 cm / diâmetro da broca: 5/8 ");UN;1,0;1;1;;1;;
01.006.000024;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (profundidade do furo: até 15 cm / diâmetro da broca: 3/4 ");UN;1,0;1;1;;1;;
01.006.000025;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 " / profundidade do furo: até 15 cm);UN;1,0;1;1;;1;;
01.006.000026;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 1/4 " / profundidade do furo: até 15 cm);UN;1,0;1;1;;1;;
01.006.000027;SET;Furo em concreto com broca de vídea, utilizando martele elétrico (diâmetro da broca: 1 1/2 " / profundidade do furo: até 15 cm);UN;1,0;1;1;;1;;
01.006.000028;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (profundidade do furo: até 40 cm / diâmetro da broca: 3/8 a 3/4 ");UN;1,0;1;1;;1;;
01.006.000029;SET;Furo em concreto com coroa diamantada, utilizando perfuratriz elétrica (profundidade do furo: até 40 cm / diâmetro da broca: 7/8 a 1 3/4 ");UN;1,0;1;1;;1;;
01.006.000030;SET;Corte em concreto com discos diamantados para pisos e lajes (profundidade de corte: 13 cm);M;1,0;1;1;;1;;
01.006.000031;SET;Corte em concreto com discos diamantados para pisos e lajes (profundidade de corte: 20 cm);M;1,0;1;1;;1;;
01.006.000032;SET;Corte em concreto com discos diamantados para pisos e lajes (profundidade de corte: 50 cm);M;1,0;1;1;;1;;
01.006.000033;SET;Corte em concreto com discos diamantados para paredes e muros (espessura do corte: até 68 cm);M²;1,0;1;1;;1;;
01.006.000034;SET;Corte em concreto com fio diamantada para estruturas de concreto;M²;1,0;1;1;;1;;
01.006.000035;SET;Corte em concreto com discos diamantados para pisos e lajes (profundidade do corte: 5 cm);M;1,0;1;1;;1;;
01.007.000001;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de coberturas e fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,50 kg/m³ / peso próprio: 10,63 kg/m² / espessura do isolante: 50 mm / coeficiente transmiss;M²;1,0;1;1;;1;;
01.007.000002;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de coberturas e fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,50 kg/m³ / peso próprio: 10,99 kg/m² / espessura do isolante: 75 mm / coeficiente transmiss;M²;1,0;1;1;;1;;
01.007.000003;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de coberturas e fachadas (densidade eps: 14,50 kg/m³ / espessura da chapa metálica: 0,5 mm / peso próprio: 9,54 kg/m² / espessura do isolante: 100 mm / coeficiente transmiss;M²;1,0;1;1;;1;;
01.007.000004;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de coberturas e fachadas (densidade eps: 14,50 kg/m³ / peso próprio: 9,90 kg/m² / espessura do isolante: 125 mm / coeficiente transmissão de calor: 0,3483 kcal/m²h°C / espes;M²;1,0;1;1;;1;;
01.007.000005;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de coberturas e fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,50 kg/m³ / peso próprio: 10,26 kg/m² / espessura do isolante: 150 mm / coeficiente transmis;M²;1,0;1;1;;1;;
01.007.000006;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,50 mm / densidade da lã de rocha: 80 kg/m³ / largura útil: 1140 mm  / comprimento total: 10678 mm  / vão máximo autoportante: 1825 mm  / espe;M²;1,0;1;1;;1;;
01.007.000007;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 21,59 kg/m² / espessura do isolante: 125 mm / coeficiente tran;M²;1,0;1;1;;1;;
01.007.000008;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 24,09 kg/m² / espessura do isolante: 150 mm / coeficiente tran;M²;1,0;1;1;;1;;
01.007.000009;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 29,09 kg/m² / espessura do isolante: 200 mm / coeficiente tran;M²;1,0;1;1;;1;;
01.007.000010;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,50 kg/m³ / peso próprio: 9,82 kg/m² / espessura do isolante: 50 mm / coeficiente transmissão de calor: 0;M²;1,0;1;1;;1;;
01.007.000011;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (peso próprio: 10,18 kg/m² / espessura do isolante: 75 mm / coeficiente transmissão de calor: 0,3483 kcal/m²h°C / espessura da chapa metálica: 0,5 mm / densidade;M²;1,0;1;1;;1;;
01.007.000012;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,5 kg/m³ / peso próprio: 10,54 kg/m² / espessura do isolante: 100 mm / coeficiente transmissão de calor:;M²;1,0;1;1;;1;;
01.007.000013;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,5 kg/m³ / peso próprio: 10,9 kg/m² / espessura do isolante: 125 mm / coeficiente transmissão de calor: 0;M²;1,0;1;1;;1;;
01.007.000014;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,5 kg/m³ / peso próprio: 11,27 kg/m² / espessura do isolante: 150 mm / coeficiente transmissão de calor:;M²;1,0;1;1;;1;;
01.007.000015;SET;Painel em aço zincado pré-pintado com duas faces e miolo em eps para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade eps: 14,5 kg/m³ / peso próprio: 11,99 kg/m² / espessura do isolante: 200 mm / coeficiente transmissão de calor:;M²;1,0;1;1;;1;;
01.007.000016;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / espessura do isolante: 75 mm / densidade da lã de rocha: 80 kg/m³ / coeficiente transmissão de calor: 0,4246 kcal/m²h°C);M²;1,0;1;1;;1;;
01.007.000017;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 80 kg/m³ / espessura do isolante: 100 mm / coeficiente transmissão de calor: 0,3453 kcal/m²h°C);M²;1,0;1;1;;1;;
01.007.000018;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (densidade da lã de rocha: 80 kg/m³ / espessura do isolante: 125 mm / coeficiente transmissão de calor: 0,28 kcal/m²h°C / espessura da chapa metálica: 0,5 mm);M²;1,0;1;1;;1;;
01.007.000019;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 80 kg/m³ / espessura do isolante: 150 mm / coeficiente transmissão de calor: 0,2242 kcal/m²h°C);M²;1,0;1;1;;1;;
01.007.000020;SET;Painel em aço com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 80 kg/m³ / espessura do isolante: 200 mm / coeficiente transmissão de calor: 0,1786 kcal/m²h°C);M²;1,0;1;1;;1;;
01.007.000021;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 14,09 kg/m² / espessura do isolante: 50 mm / coeficiente trans;M²;1,0;1;1;;1;;
01.007.000022;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 16,59 kg/m² / espessura do isolante: 75 mm / coeficiente trans;M²;1,0;1;1;;1;;
01.007.000023;SET;Painel em aço zincado pré-pintado com duas faces e miolo em lã de rocha para revestimento de fachadas (espessura da chapa metálica: 0,5 mm / densidade da lã de rocha: 100 kg/m³ / peso próprio: 19,09 kg/m² / espessura do isolante: 100 mm / coeficiente tran;M²;1,0;1;1;;1;;
01.008.000002;SET;Parede de gesso acartonado dupla (espessura: 125,00 mm / altura: 3,75 m);M²;1,0;1;1;;1;;
01.008.000003;SET;Parede de gesso acartonado simples (altura: 3,15 m / espessura: 100,00 mm);M²;1,0;1;1;;1;;
01.008.000004;SET;Painel de gesso acartonado simples com bordas rebaixadas com colagem direta em alvenaria inclusive material de acabamento para locais secos (largura: 1,20 m / comprimento: 3,00 m / espessura: 12,50 mm);M²;1,0;1;1;;1;;
01.009.000002;SET;Parede de gesso acartonado para local úmido (espessura: 100,00 mm / altura: 3,15 m);M²;1,0;1;1;;1;;
01.009.000003;SET;Divisória pré-moldada de granilite  (espessura: 30 mm);M²;1,0;1;1;;1;;
01.011.000001;SET;Estrutura para cobertura em aço a36, inclusive montagem;KG;1,0;1;1;;1;;
01.012.000003;SET;Porta corta-fogo, colocada dupla (isolação: 90 min / largura: 1,60 m / altura: 2,10 m);UN;1,0;1;1;;1;;
01.012.000004;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (altura: 3000 mm / sistema de automação: basculante  / fluxo de veículos: baixo  / largura: 5000 mm);UN;1,0;1;1;;1;;
01.012.000005;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 3500 mm / altura: 1800 mm / sistema de automação: deslizante  / fluxo de veículos: baixo );UN;1,0;1;1;;1;;
01.012.000006;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (altura: 1800 mm / fluxo de veículos: alto  / largura: 3500 mm / sistema de automação: deslizante);UN;1,0;1;1;;1;;
01.012.000007;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (fluxo de veículos: baixo  / largura: 4000 mm / altura: 2100 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000008;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 4000 mm / altura: 2100 mm / sistema de automação: deslizante  / fluxo de veículos: alto );UN;1,0;1;1;;1;;
01.012.000009;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 5000 mm / altura: 3000 mm / sistema de automação: deslizante  / fluxo de veículos: baixo );UN;1,0;1;1;;1;;
01.012.000010;SET;Portão automático de madeira, com lâminas de madeira tipo assoalho em posição vertical (largura: 5000 mm / fluxo de veículos: alto  / sistema de automação: deslizante  / altura: 3000 mm);UN;1,0;1;1;;1;;
01.012.000012;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (fluxo de veículos: alto  / largura: 3500 mm / sistema de automação: pivotante  / altura: 1800 mm);UN;1,0;1;1;;1;;
01.012.000013;SET;Portão automático em chapa de aço galvanizada, duas folhas, com chapas de aço tipo deck em posição vertical (fluxo de veículos: alto  / altura: 1800 mm / sistema de automação: pivotante  / largura: 3500 mm);UN;1,0;1;1;;1;;
01.012.000014;SET;Portão automático em chapa de aço galvanizada, duas folhas, com chapas de aço tipo deck em posição vertical (fluxo de veículos: baixo  / altura: 2100 mm / largura: 4000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000015;SET;Portão automático em chapa de aço galvanizada, duas folhas, com chapas de aço tipo deck em posição vertical (fluxo de veículos: baixo  / altura: 3000 mm / largura: 5000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000016;SET;Portão automático em chapa de aço galvanizada, duas folhas, com chapas de aço tipo deck em posição vertical (largura: 5000 mm / fluxo de veículos: alto  / altura: 3000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000017;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (largura: 3500 mm / fluxo de veículos: alto  / altura: 1800 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000018;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: baixo  / altura: 1800 mm / largura: 3500 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000019;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (largura: 2100 mm / fluxo de veículos: alto  / altura: 4000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000020;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: baixo  / altura: 2100 mm / sistema de automação: basculante  / largura: 4000 mm);UN;1,0;1;1;;1;;
01.012.000021;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: alto  / altura: 3000 mm / largura: 5000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000022;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: baixo  / altura: 3000 mm / largura: 5000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000023;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (altura: 2100 mm / fluxo de veículos: baixo  / largura: 4000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000024;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (largura: 3500 mm / fluxo de veículos: baixo  / altura: 1800 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000025;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: alto  / altura: 1800 mm / largura: 3500 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000026;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (largura: 4000 mm / fluxo de veículos: baixo  / altura: 2100 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000027;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: alto  / altura: 2100 mm / largura: 4000 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000028;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (largura: 5000 mm / fluxo de veículos: baixo  / altura: 3000 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000029;SET;Portão automático em chapa de aço galvanizada, com chapas de aço tipo deck em posição vertical (fluxo de veículos: alto  / altura: 3000 mm / sistema de automação: deslizante  / largura: 5000 mm);UN;1,0;1;1;;1;;
01.012.000030;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (fluxo de veículos: baixo  / altura: 1800 mm / largura: 3500 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000031;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (largura: 3500 mm / fluxo de veículos: alto  / altura: 1800 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000032;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (largura: 4000 mm / fluxo de veículos: baixo  / altura: 2100 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000033;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (fluxo de veículos: alto  / altura: 2100 mm / largura: 4000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000034;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (altura: 2100 mm / fluxo de veículos: alto  / largura: 4000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000035;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (largura: 5000 mm / fluxo de veículos: baixo  / sistema de automação: pivotante  / altura: 3000 mm);UN;1,0;1;1;;1;;
01.012.000036;SET;Portão automático em chapa de alumínio, duas folhas, com chapas de alumínio tipo lambril em posição vertical (largura: 5000 mm / fluxo de veículos: alto  / altura: 3000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000037;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (altura: 1800 mm / fluxo de veículos: alto  / sistema de automação: basculante  / largura: 3500 mm);UN;1,0;1;1;;1;;
01.012.000038;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 3500 mm / fluxo de veículos: baixo  / altura: 1800 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000039;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (fluxo de veículos: alto  / altura: 2100 mm / sistema de automação: basculante  / largura: 4000 mm);UN;1,0;1;1;;1;;
01.012.000040;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (fluxo de veículos: baixo  / altura: 2100 mm / largura: 4000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000041;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 5000 mm / fluxo de veículos: alto  / altura: 3000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000042;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 5000 mm / fluxo de veículos: baixo  / altura: 3000 mm / sistema de automação: basculante );UN;1,0;1;1;;1;;
01.012.000043;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 3500 mm / fluxo de veículos: baixo  / altura: 1800 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000044;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 3500 mm / fluxo de veículos: alto  / altura: 1800 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000045;SET;Portão automático de madeira, duas folhas, com lâminas de madeira tipo assoalho em posição vertical (altura: 3000 mm / fluxo de veículos: baixo  / largura: 5000 mm / sistema de automação: pivotante );UN;1,0;1;1;;1;;
01.012.000046;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 4000 mm / fluxo de veículos: baixo  / altura: 2100 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
01.012.000047;SET;Portão automático em chapa de alumínio, com chapas de alumínio tipo lambril em posição vertical (largura: 4000 mm / fluxo de veículos: alto  / altura: 2100 mm / sistema de automação: deslizante );UN;1,0;1;1;;1;;
